asteroid_id,name,absolute_magnitude,diameter_min_m,diameter_max_m,velocity_km_s,miss_distance_km,date
3584577,(2011 UY255),22.96,68.007212874,152.0687509465,21.3150427744,71729271.30519548,2026-03-30
3761647,(2016 UY35),24.7,30.5179232594,68.2401509401,11.7215288407,33494735.779036537,2026-03-30
54254966,(2022 EC5),26.34,14.3401923465,32.0656448971,18.4732741511,55074139.30636687,2026-03-30
54354356,(2023 GR1),25.35,22.6232490554,50.5871227598,14.2536384894,27531480.938556507,2026-03-30
54465529,(2024 PP1),27.87,7.0885103303,15.8503909578,13.3303392613,16036786.79589313,2026-03-30
54489167,(2024 TT5),24.64,31.3729224956,70.151987353,15.8874200483,23465193.570969906,2026-03-30
54604370,(2026 DS11),23.7,48.3676488219,108.1533506775,7.1728116186,14279712.719333654,2026-03-30
54606249,(2026 EY1),21.41,138.852907036,310.4845390059,8.1118846221,21766910.7990898,2026-03-30
54606508,(2026 FN1),26.502,13.3092927113,29.760483235,9.8965995724,3244132.016214784,2026-03-30
54606534,(2026 FF2),23.922,43.6671629325,97.6427447016,22.2288159279,12299868.131178735,2026-03-30
54606733,(2026 FA4),26.103,15.9939221072,35.7634970585,11.6463747968,6255070.049885283,2026-03-30
